ActivityID,AgentKey,MonthStartDateKey,Year,MonthNumber,ClosedSales,BuyerConsults,ListingsTaken,OffersWritten,OpenHouses,MarketingSpend
50,1,19920201,1992,2,4,12,3,7,7,1175
51,1,19920301,1992,3,5,18,4,8,7,1700
52,1,19920401,1992,4,8,29,6,20,10,1100
53,1,19920501,1992,5,15,46,11,33,19,4375
54,1,19920601,1992,6,9,23,8,18,16,1750
55,1,19920701,1992,7,10,37,5,18,9,3050
56,1,19920801,1992,8,7,17,7,16,17,1050
57,1,19920901,1992,9,8,29,8,15,12,2100
58,1,19921001,1992,10,8,18,7,18,9,1000
59,1,19921101,1992,11,6,21,4,13,8,1350
60,1,19921201,1992,12,4,13,3,9,4,1325
61,1,19930101,1993,1,3,11,2,7,3,650
62,1,19930201,1993,2,5,18,3,8,4,675
63,1,19930301,1993,3,6,17,3,10,7,750
64,1,19930401,1993,4,8,27,8,17,17,1325
65,1,19930501,1993,5,5,17,5,11,8,1475
66,1,19930601,1993,6,7,19,5,11,6,1650
67,1,19930701,1993,7,4,13,2,7,2,1200
68,1,19930801,1993,8,7,20,6,11,8,975
69,1,19930901,1993,9,6,17,5,15,6,925
70,1,19931001,1993,10,11,29,8,19,9,3475
71,1,19931101,1993,11,5,13,4,12,5,1375
72,1,19931201,1993,12,14,40,12,34,17,2425
73,1,19940101,1994,1,6,20,5,15,5,1300
74,1,19940201,1994,2,2,7,1,3,2,850
75,1,19940301,1994,3,8,21,7,15,6,1850
76,1,19940401,1994,4,11,34,6,20,13,2525
77,1,19940501,1994,5,9,29,5,18,7,2800
78,1,19940601,1994,6,10,30,7,22,12,1175
79,1,19940701,1994,7,7,24,7,11,11,925
80,1,19940801,1994,8,9,23,7,15,10,2200
81,1,19940901,1994,9,12,30,11,19,17,3700
82,1,19941001,1994,10,7,19,7,11,14,2225
83,1,19941101,1994,11,8,27,4,16,9,1500
84,1,19941201,1994,12,5,16,4,13,8,1200
85,1,19950101,1995,1,4,11,3,10,6,600
86,1,19950201,1995,2,3,9,2,6,3,600
87,1,19950301,1995,3,5,15,5,8,5,1075
88,1,19950401,1995,4,11,32,8,22,13,2125
89,1,19950501,1995,5,4,14,3,6,3,1050
90,1,19950601,1995,6,8,17,8,18,13,2550
91,1,19950701,1995,7,7,24,4,16,8,1000
92,1,19950801,1995,8,5,14,5,13,7,975
93,1,19950901,1995,9,5,13,4,12,9,1175
94,1,19951001,1995,10,11,37,6,22,7,3975
95,1,19951101,1995,11,6,20,3,14,4,2200
96,1,19951201,1995,12,5,14,3,10,7,1200
97,1,19960101,1996,1,3,12,2,5,3,1025
98,1,19960201,1996,2,3,9,3,5,5,500
99,1,19960301,1996,3,12,29,9,28,18,3225
100,1,19960401,1996,4,10,29,10,18,15,2925
101,1,19960501,1996,5,9,32,8,19,18,1550
102,1,19960601,1996,6,5,15,3,9,3,1525
103,1,19960701,1996,7,8,21,7,20,7,2475
104,1,19960801,1996,8,9,24,6,14,7,2900
105,1,19960901,1996,9,4,15,3,9,3,600
106,1,19961001,1996,10,4,11,3,8,6,1100
107,1,19961101,1996,11,3,9,2,7,4,575
108,1,19961201,1996,12,9,32,6,17,12,1600
109,1,19970101,1997,1,6,17,5,15,9,925
110,1,19970201,1997,2,6,18,4,15,6,1575
111,1,19970301,1997,3,9,25,5,16,10,1250
112,1,19970401,1997,4,11,28,8,21,14,1375
113,1,19970501,1997,5,8,21,5,17,9,2350
114,1,19970601,1997,6,13,44,12,29,11,3300
115,1,19970701,1997,7,11,34,10,19,8,1400
116,1,19970801,1997,8,6,19,5,11,6,1575
117,1,19970901,1997,9,5,15,4,11,3,1050
118,1,19971001,1997,10,7,20,4,12,4,2625
119,1,19971101,1997,11,5,18,4,11,6,950
120,1,19971201,1997,12,4,15,3,9,5,1050
121,1,19980101,1998,1,6,21,4,13,8,1675
122,1,19980201,1998,2,6,22,4,9,4,1175
123,1,19980301,1998,3,5,16,4,12,4,1225
124,1,19980401,1998,4,3,13,2,6,2,550
125,1,19980501,1998,5,12,37,7,26,12,3450
126,1,19980601,1998,6,8,22,6,12,14,2775
127,1,19980701,1998,7,11,38,9,19,10,2325
128,1,19980801,1998,8,3,12,3,7,5,1225
129,1,19980901,1998,9,5,18,4,10,4,1350
130,1,19981001,1998,10,4,11,3,10,3,1075
131,1,19981101,1998,11,6,17,6,11,6,1675
132,1,19981201,1998,12,2,9,1,5,2,475
133,1,19990101,1999,1,2,7,1,5,1,750
134,1,19990201,1999,2,7,22,7,15,7,1475
135,1,19990301,1999,3,2,9,2,3,4,525
136,1,19990401,1999,4,5,17,3,8,7,1925
137,1,19990501,1999,5,13,32,11,32,22,2625
138,1,19990601,1999,6,4,11,2,10,2,575
139,1,19990701,1999,7,4,14,3,6,7,700
140,1,19990801,1999,8,12,33,7,30,9,3400
141,1,19990901,1999,9,7,22,6,11,7,1150
142,1,19991001,1999,10,9,22,6,16,14,1675
143,1,19991101,1999,11,4,13,3,6,3,725
144,1,19991201,1999,12,6,22,5,14,7,1675
145,1,20000101,2000,1,7,24,4,12,6,2350
146,1,20000201,2000,2,7,20,4,13,8,2325
147,1,20000301,2000,3,4,13,3,8,3,1400
148,1,20000401,2000,4,13,47,9,21,13,3100
149,1,20000501,2000,5,11,31,9,25,16,3350
150,1,20000601,2000,6,15,45,12,36,13,2600
151,1,20000701,2000,7,6,21,4,14,9,775
152,1,20000801,2000,8,11,25,7,20,13,1850
153,1,20000901,2000,9,9,26,6,23,7,2075
154,1,20001001,2000,10,5,18,4,9,8,1175
155,1,20001101,2000,11,4,14,4,8,8,850
156,1,20001201,2000,12,3,11,3,5,7,900
157,1,20010101,2001,1,8,22,6,14,14,1075
158,1,20010201,2001,2,5,17,4,13,9,1825
159,1,20010301,2001,3,13,38,8,25,13,3375
160,1,20010401,2001,4,6,17,5,15,6,2025
161,1,20010501,2001,5,3,10,2,8,3,600
162,1,20010601,2001,6,7,19,6,16,10,1475
163,1,20010701,2001,7,12,27,10,27,8,1725
164,1,20010801,2001,8,8,23,4,20,8,2225
165,1,20010901,2001,9,12,33,9,22,8,2925
166,1,20011001,2001,10,7,17,4,18,4,2025
167,1,20011101,2001,11,5,16,4,8,9,1700
168,1,20011201,2001,12,4,11,3,10,6,950
169,1,20020101,2002,1,2,7,2,3,2,750
170,1,20020201,2002,2,6,17,4,13,4,1250
171,1,20020301,2002,3,6,16,5,14,10,1325
172,1,20020401,2002,4,11,28,6,22,11,3375
173,1,20020501,2002,5,13,38,8,33,16,1900
174,1,20020601,2002,6,11,25,6,24,13,3700
175,1,20020701,2002,7,9,22,6,18,13,3200
176,1,20020801,2002,8,6,20,4,14,7,1500
177,1,20020901,2002,9,3,10,2,6,4,825
178,1,20021001,2002,10,6,21,5,12,5,1250
179,1,20021101,2002,11,2,8,2,4,3,700
180,1,20021201,2002,12,5,15,4,11,6,1650
181,1,20030101,2003,1,5,15,5,8,4,975
182,1,20030201,2003,2,4,12,2,10,5,950
183,1,20030301,2003,3,13,33,7,30,9,3475
184,1,20030401,2003,4,14,42,11,26,26,4075
185,1,20030501,2003,5,12,33,11,27,22,3675
186,1,20030601,2003,6,12,38,8,21,7,3300
187,1,20030701,2003,7,9,29,7,14,6,3175
188,1,20030801,2003,8,10,32,8,26,6,2300
189,1,20030901,2003,9,8,28,6,14,8,1650
190,1,20031001,2003,10,8,26,5,13,5,2725
191,1,20031101,2003,11,10,23,9,21,15,2000
192,1,20031201,2003,12,5,11,3,13,3,1075
193,1,20040101,2004,1,7,17,4,16,6,1350
194,1,20040201,2004,2,8,26,6,16,10,2875
195,1,20040301,2004,3,11,29,10,27,21,2875
196,1,20040401,2004,4,17,43,15,28,25,3950
197,1,20040501,2004,5,8,28,6,20,12,1700
198,1,20040601,2004,6,20,47,18,36,18,2075
199,1,20040701,2004,7,13,44,9,25,10,4550
200,1,20040801,2004,8,8,26,7,19,13,2475
201,1,20040901,2004,9,5,12,4,11,4,825
202,1,20041001,2004,10,8,20,7,18,10,2750
203,1,20041101,2004,11,6,18,4,15,7,1300
204,1,20041201,2004,12,2,9,1,4,2,425
205,1,20050101,2005,1,7,20,4,16,5,2075
206,1,20050201,2005,2,8,23,6,19,9,2725
207,1,20050301,2005,3,6,18,4,15,6,800
208,1,20050401,2005,4,13,34,8,26,17,2450
209,1,20050501,2005,5,14,50,12,30,19,3625
210,1,20050601,2005,6,13,40,8,32,16,1850
211,1,20050701,2005,7,10,29,7,22,7,3400
212,1,20050801,2005,8,5,14,3,11,3,1800
213,1,20050901,2005,9,6,13,3,11,6,1950
214,1,20051001,2005,10,7,22,4,15,6,1650
215,1,20051101,2005,11,9,22,7,21,15,2200
216,1,20051201,2005,12,10,31,10,23,22,1775
217,1,20060101,2006,1,4,10,3,8,4,875
218,1,20060201,2006,2,4,12,2,9,2,575
219,1,20060301,2006,3,12,38,11,28,12,1975
220,1,20060401,2006,4,14,43,8,34,12,2050
221,1,20060501,2006,5,12,36,12,20,14,3100
222,1,20060601,2006,6,8,20,5,19,10,1700
223,1,20060701,2006,7,9,32,5,18,9,2450
224,1,20060801,2006,8,6,19,5,10,7,2025
225,1,20060901,2006,9,4,15,3,8,3,1150
226,1,20061001,2006,10,7,21,5,18,9,2200
227,1,20061101,2006,11,6,19,4,10,7,1075
228,1,20061201,2006,12,7,16,4,12,5,2450
229,1,20070101,2007,1,8,21,6,20,9,1325
230,1,20070201,2007,2,6,21,4,16,4,1825
231,1,20070301,2007,3,9,24,9,15,19,2875
232,1,20070401,2007,4,12,43,7,27,13,1475
233,1,20070501,2007,5,13,37,7,21,15,4025
234,1,20070601,2007,6,8,26,7,16,7,1225
235,1,20070701,2007,7,10,31,9,20,8,1475
236,1,20070801,2007,8,8,20,5,15,6,1550
237,1,20070901,2007,9,9,28,5,17,5,2800
238,1,20071001,2007,10,1,5,1,2,2,375
239,1,20071101,2007,11,5,14,3,13,7,800
240,1,20071201,2007,12,3,11,2,6,2,1075
241,1,20080101,2008,1,4,11,2,9,3,700
242,1,20080201,2008,2,9,24,5,17,6,2225
243,1,20080301,2008,3,9,29,8,15,8,1100
244,1,20080401,2008,4,17,56,9,28,18,2075
245,1,20080501,2008,5,13,38,11,26,26,3575
246,1,20080601,2008,6,13,42,7,22,13,3925
247,1,20080701,2008,7,11,36,9,22,15,3525
248,1,20080801,2008,8,12,42,11,20,24,3375
249,1,20080901,2008,9,6,19,4,12,7,875
250,1,20081001,2008,10,8,23,8,17,12,2475
251,1,20081101,2008,11,3,11,2,6,3,1050
252,1,20081201,2008,12,7,22,5,11,5,1950
253,1,20090101,2009,1,5,13,4,8,8,750
254,1,20090201,2009,2,3,10,3,7,6,875
255,1,20090301,2009,3,4,14,2,7,3,1600
256,1,20090401,2009,4,14,43,13,36,28,3850
257,1,20090501,2009,5,13,37,11,26,24,4300
258,1,20090601,2009,6,9,20,7,23,7,1800
259,1,20090701,2009,7,9,32,5,15,9,1575
260,1,20090801,2009,8,13,39,12,23,18,3125
261,1,20090901,2009,9,9,28,8,17,7,2075
262,1,20091001,2009,10,8,24,7,14,16,1450
263,1,20091101,2009,11,8,28,6,12,7,2375
264,1,20091201,2009,12,3,11,2,6,2,525
265,1,20100101,2010,1,4,13,4,8,5,1100
266,1,20100201,2010,2,5,16,3,10,6,950
267,1,20100301,2010,3,6,16,5,14,7,1600
268,1,20100401,2010,4,13,39,12,23,20,4000
269,1,20100501,2010,5,15,51,15,31,24,2350
270,1,20100601,2010,6,17,47,11,31,23,5450
271,1,20100701,2010,7,10,30,8,24,9,2375
272,1,20100801,2010,8,9,28,6,19,7,2525
273,1,20100901,2010,9,9,19,8,14,11,2725
274,1,20101001,2010,10,10,35,6,22,9,3125
275,1,20101101,2010,11,10,36,7,26,10,2175
276,1,20101201,2010,12,4,15,2,9,4,1075
277,1,20110101,2011,1,3,9,2,6,3,625
278,1,20110201,2011,2,4,13,2,6,2,1475
279,1,20110301,2011,3,8,27,8,19,18,2400
280,1,20110401,2011,4,10,26,7,23,12,3125
281,1,20110501,2011,5,15,41,14,26,17,2625
282,1,20110601,2011,6,12,41,12,29,21,3025
283,1,20110701,2011,7,9,30,7,16,11,2100
284,1,20110801,2011,8,7,25,5,16,9,900
285,1,20110901,2011,9,12,28,6,23,5,3450
286,1,20111001,2011,10,11,33,7,19,14,3850
287,1,20111101,2011,11,5,14,3,9,3,1800
288,1,20111201,2011,12,5,13,3,12,3,1450
289,1,20120101,2012,1,5,14,3,9,3,1100
290,1,20120201,2012,2,7,20,6,16,10,1400
291,1,20120301,2012,3,8,18,5,20,10,1550
292,1,20120401,2012,4,7,19,6,16,8,2075
293,1,20120501,2012,5,13,34,11,20,9,2000
294,1,20120601,2012,6,5,13,4,8,4,900
295,1,20120701,2012,7,10,36,10,18,12,3475
296,1,20120801,2012,8,6,16,6,15,7,1650
297,1,20120901,2012,9,10,23,7,17,10,1850
298,1,20121001,2012,10,9,28,5,22,8,1000
299,1,20121101,2012,11,5,13,5,12,5,975
300,1,20121201,2012,12,4,11,4,8,6,675
301,1,20130101,2013,1,4,15,3,7,4,1025
302,1,20130201,2013,2,6,21,6,14,5,1100
303,1,20130301,2013,3,7,18,4,15,8,900
304,1,20130401,2013,4,12,30,8,29,11,2075
305,1,20130501,2013,5,8,28,7,14,11,2325
306,1,20130601,2013,6,10,27,9,19,9,3050
307,1,20130701,2013,7,7,18,6,11,6,1675
308,1,20130801,2013,8,6,22,5,15,6,775
309,1,20130901,2013,9,13,36,7,28,9,4400
310,1,20131001,2013,10,5,18,4,11,8,1000
311,1,20131101,2013,11,5,19,4,13,10,1150
312,1,20131201,2013,12,6,16,5,9,4,1950
313,1,20140101,2014,1,7,22,5,18,11,1500
314,1,20140201,2014,2,2,6,2,3,4,750
315,1,20140301,2014,3,10,28,7,18,11,3500
316,1,20140401,2014,4,9,23,5,17,6,1175
317,1,20140501,2014,5,19,64,13,40,30,2050
318,1,20140601,2014,6,14,31,12,24,28,3425
319,1,20140701,2014,7,15,38,10,32,19,2025
320,1,20140801,2014,8,12,40,7,20,14,3575
321,1,20140901,2014,9,10,30,6,23,14,2000
322,1,20141001,2014,10,9,22,9,19,7,1150
323,1,20141101,2014,11,3,9,3,8,4,500
324,1,20141201,2014,12,2,8,2,4,2,550
325,1,20150101,2015,1,5,12,4,11,3,1375
326,1,20150201,2015,2,6,22,3,14,6,1300
327,1,20150301,2015,3,15,38,11,25,26,1775
328,1,20150401,2015,4,11,29,7,24,14,1200
329,1,20150501,2015,5,12,30,7,26,9,1775
330,1,20150601,2015,6,15,50,15,28,26,2825
331,1,20150701,2015,7,6,15,5,15,11,1675
332,1,20150801,2015,8,15,45,13,36,23,3975
333,1,20150901,2015,9,13,44,7,20,10,2850
334,1,20151001,2015,10,13,37,7,32,7,1850
335,1,20151101,2015,11,11,33,8,21,16,2150
336,1,20151201,2015,12,8,18,5,20,7,1475
337,1,20160101,2016,1,10,34,10,20,14,1350
338,1,20160201,2016,2,13,30,12,22,23,3300
339,1,20160301,2016,3,13,41,7,20,15,3300
340,1,20160401,2016,4,11,30,11,27,18,3625
341,1,20160501,2016,5,16,52,13,40,16,4725
342,1,20160601,2016,6,18,48,14,32,17,2900
343,1,20160701,2016,7,9,28,8,21,12,2450
344,1,20160801,2016,8,16,56,10,26,22,4875
345,1,20160901,2016,9,8,21,7,17,10,2500
346,1,20161001,2016,10,12,35,11,22,18,1725
347,1,20161101,2016,11,7,24,5,16,5,2375
348,1,20161201,2016,12,8,25,4,19,5,2925
349,1,20170101,2017,1,7,21,5,14,11,2475
350,1,20170201,2017,2,8,30,4,15,4,1525
351,1,20170301,2017,3,7,24,6,14,9,1100
352,1,20170401,2017,4,13,36,9,20,16,2625
353,1,20170501,2017,5,14,37,10,28,15,4250
354,1,20170601,2017,6,8,22,7,17,9,1925
355,1,20170701,2017,7,18,42,17,32,29,5825
356,1,20170801,2017,8,14,36,8,27,18,3900
357,1,20170901,2017,9,5,16,3,9,7,1800
358,1,20171001,2017,10,12,38,6,21,9,1800
359,1,20171101,2017,11,7,18,5,12,6,2450
360,1,20171201,2017,12,10,27,5,20,12,2350
361,1,20180101,2018,1,8,25,5,13,5,2500
362,1,20180201,2018,2,6,20,4,13,6,1575
363,1,20180301,2018,3,4,16,4,9,6,825
364,1,20180401,2018,4,9,29,8,22,8,3225
365,1,20180501,2018,5,14,35,10,26,21,5075
366,1,20180601,2018,6,9,22,8,16,12,2950
367,1,20180701,2018,7,12,44,12,31,16,3275
368,1,20180801,2018,8,7,24,4,12,9,1300
369,1,20180901,2018,9,9,28,7,22,9,1200
370,1,20181001,2018,10,10,28,5,22,11,2450
371,1,20181101,2018,11,9,29,8,14,8,1450
372,1,20181201,2018,12,9,21,8,16,19,1575
373,1,20190101,2019,1,2,8,2,5,2,400
374,1,20190201,2019,2,6,21,4,10,6,2225
375,1,20190301,2019,3,9,29,8,21,12,2625
376,1,20190401,2019,4,7,19,4,15,5,1025
377,1,20190501,2019,5,12,28,12,20,25,1400
378,1,20190601,2019,6,8,29,7,12,9,950
379,1,20190701,2019,7,17,56,12,35,28,4150
380,1,20190801,2019,8,10,35,8,26,11,2900
381,1,20190901,2019,9,11,36,6,18,8,3525
382,1,20191001,2019,10,12,38,8,21,8,3225
383,1,20191101,2019,11,7,18,6,11,12,2350
384,1,20191201,2019,12,7,16,5,12,8,1650
385,1,20200101,2020,1,3,10,2,5,4,575
386,1,20200201,2020,2,6,18,5,11,8,825
387,1,20200301,2020,3,14,35,12,34,25,2675
388,1,20200401,2020,4,16,38,11,24,12,2450
389,1,20200501,2020,5,14,41,9,36,15,4375
390,1,20200601,2020,6,23,64,19,52,21,2425
391,1,20200701,2020,7,20,52,11,34,16,3350
392,1,20200801,2020,8,10,34,9,21,15,1575
393,1,20200901,2020,9,5,15,5,9,6,700
394,1,20201001,2020,10,14,45,7,22,10,1650
395,1,20201101,2020,11,9,20,5,19,7,1375
396,1,20201201,2020,12,8,27,7,14,7,2925
397,1,20210101,2021,1,8,26,5,13,5,1200
398,1,20210201,2021,2,3,7,2,6,2,775
399,1,20210301,2021,3,10,27,7,19,16,3000
400,1,20210401,2021,4,14,42,7,29,16,2375
401,1,20210501,2021,5,16,42,10,28,14,2525
402,1,20210601,2021,6,15,46,10,29,15,3375
403,1,20210701,2021,7,5,14,4,13,8,850
404,1,20210801,2021,8,10,30,7,20,6,2875
405,1,20210901,2021,9,6,19,3,11,7,2025
406,1,20211001,2021,10,3,9,3,8,4,600
407,1,20211101,2021,11,8,19,7,16,9,2275
408,1,20211201,2021,12,5,13,4,8,9,1050
409,1,20220101,2022,1,3,10,2,5,3,1050
410,1,20220201,2022,2,9,24,5,21,12,1300
411,1,20220301,2022,3,13,32,9,26,11,3675
412,1,20220401,2022,4,11,33,7,17,13,1275
413,1,20220501,2022,5,17,59,16,34,25,5425
414,1,20220601,2022,6,16,59,8,34,17,3975
415,1,20220701,2022,7,14,33,10,25,9,3575
416,1,20220801,2022,8,15,47,11,31,18,3850
417,1,20220901,2022,9,10,24,8,17,11,3625
418,1,20221001,2022,10,9,28,9,20,15,2150
419,1,20221101,2022,11,6,18,4,11,6,1450
420,1,20221201,2022,12,6,18,3,14,2,2075
421,1,20230101,2023,1,10,32,7,25,10,1450
422,1,20230201,2023,2,8,26,5,18,10,1525
423,1,20230301,2023,3,15,46,13,30,31,4000
424,1,20230401,2023,4,17,58,16,26,18,4550
425,1,20230501,2023,5,15,54,15,33,24,4875
426,1,20230601,2023,6,15,52,13,23,25,4375
427,1,20230701,2023,7,10,31,6,24,10,2750
428,1,20230801,2023,8,16,39,8,30,16,4125
429,1,20230901,2023,9,9,28,7,20,17,2250
430,1,20231001,2023,10,9,30,7,21,14,2475
431,1,20231101,2023,11,6,18,5,10,11,1400
432,1,20231201,2023,12,8,28,7,18,9,1175
433,1,20240101,2024,1,7,22,5,14,4,1200
434,1,20240201,2024,2,6,19,3,10,3,2025
435,1,20240301,2024,3,5,13,3,9,5,1875
436,1,20240401,2024,4,7,22,5,18,7,2075
437,1,20240501,2024,5,14,40,8,25,13,3300
438,1,20240601,2024,6,18,57,17,27,32,2800
439,1,20240701,2024,7,11,34,6,19,6,2575
440,1,20240801,2024,8,14,49,12,28,25,2100
441,1,20240901,2024,9,13,33,8,26,9,2875
442,1,20241001,2024,10,10,34,7,19,6,1125
443,1,20241101,2024,11,8,28,8,18,10,1225
444,1,20241201,2024,12,6,19,3,11,3,2075
445,1,20250101,2025,1,4,13,3,7,4,775
446,1,20250201,2025,2,12,37,6,24,11,4375
447,1,20250301,2025,3,16,53,12,25,16,3925
448,1,20250401,2025,4,15,39,11,27,21,3700
449,1,20250501,2025,5,11,29,9,21,14,2950
450,1,20250601,2025,6,16,47,12,28,16,2475
451,1,20250701,2025,7,9,25,8,22,11,1725
452,1,20250801,2025,8,11,32,8,20,18,1650
453,1,20250901,2025,9,8,19,8,12,12,2125
454,1,20251001,2025,10,9,28,7,18,9,3025
455,1,20251101,2025,11,5,16,3,12,6,1600
456,1,20251201,2025,12,7,22,4,16,7,1175
457,1,20260101,2026,1,8,28,4,12,9,2325
458,1,20260201,2026,2,6,20,5,11,11,1300
459,1,20260301,2026,3,9,24,5,20,10,2600
460,1,20260401,2026,4,9,25,5,17,9,2575
461,1,20260501,2026,5,20,68,19,36,41,3150
462,1,20260601,2026,6,8,22,7,17,11,1425
463,1,20260701,2026,7,10,25,7,22,12,1875
464,1,20260801,2026,8,10,32,7,18,12,3475
465,1,20260901,2026,9,9,25,8,21,12,2425
466,1,20261001,2026,10,8,24,5,15,8,2350
467,1,20261101,2026,11,6,18,3,15,7,975
468,1,20261201,2026,12,5,18,3,10,3,875
469,2,19950101,1995,1,5,16,3,12,6,800
470,2,19950201,1995,2,0,3,0,0,0,200
471,2,19950301,1995,3,5,11,3,10,3,1225
472,2,19950401,1995,4,4,11,2,10,3,1325
473,2,19950501,1995,5,2,8,1,5,1,600
474,2,19950601,1995,6,4,15,3,10,5,850
475,2,19950701,1995,7,6,17,4,11,9,1025
476,2,19950801,1995,8,1,3,1,2,2,475
477,2,19950901,1995,9,2,5,1,3,2,650
478,2,19951001,1995,10,2,9,2,4,2,625
479,2,19951101,1995,11,4,11,4,7,5,1050
480,2,19951201,1995,12,1,3,1,2,1,400
481,2,19960101,1996,1,0,1,0,0,0,200
482,2,19960201,1996,2,3,11,3,5,6,750
483,2,19960301,1996,3,4,12,3,10,4,600
484,2,19960401,1996,4,7,23,5,14,12,1625
485,2,19960501,1996,5,3,9,3,6,5,1100
486,2,19960601,1996,6,3,10,3,7,2,1050
487,2,19960701,1996,7,2,8,1,5,2,850
488,2,19960801,1996,8,2,6,2,3,2,575
489,2,19960901,1996,9,6,22,6,14,13,750
490,2,19961001,1996,10,4,12,2,8,4,825
491,2,19961101,1996,11,0,1,0,0,0,200
492,2,19961201,1996,12,3,10,3,8,6,700
493,2,19970101,1997,1,6,18,3,11,6,2200
494,2,19970201,1997,2,1,5,1,2,2,325
495,2,19970301,1997,3,0,3,0,0,0,200
496,2,19970401,1997,4,7,18,7,11,9,2000
497,2,19970501,1997,5,4,13,3,6,4,1275
498,2,19970601,1997,6,1,5,1,2,1,375
499,2,19970701,1997,7,3,9,3,7,6,1000
500,2,19970801,1997,8,2,8,2,3,3,800
501,2,19970901,1997,9,2,7,2,4,3,625
502,2,19971001,1997,10,5,13,5,8,10,1525
503,2,19971101,1997,11,3,10,3,6,6,975
504,2,19971201,1997,12,1,3,1,2,2,325
505,2,19980101,1998,1,4,14,3,9,5,1000
506,2,19980201,1998,2,3,10,2,5,4,850
507,2,19980301,1998,3,3,9,2,6,5,1000
508,2,19980401,1998,4,10,23,8,21,19,1850
509,2,19980501,1998,5,4,11,3,9,6,1125
510,2,19980601,1998,6,3,9,2,7,3,825
511,2,19980701,1998,7,1,4,1,2,2,475
512,2,19980801,1998,8,7,21,6,18,6,1550
513,2,19980901,1998,9,2,6,2,4,2,500
514,2,19981001,1998,10,2,7,2,4,4,525
515,2,19981101,1998,11,1,5,1,2,1,500
516,2,19981201,1998,12,1,4,1,2,2,500
517,2,19990101,1999,1,1,4,1,2,1,400
518,2,19990201,1999,2,2,8,2,4,3,900
519,2,19990301,1999,3,2,7,1,4,2,825
520,2,19990401,1999,4,2,8,2,4,3,550
521,2,19990501,1999,5,3,13,3,7,3,575
522,2,19990601,1999,6,5,15,3,10,3,650
523,2,19990701,1999,7,1,4,1,2,2,300
524,2,19990801,1999,8,6,19,4,12,7,1900
525,2,19990901,1999,9,2,5,2,3,4,625
526,2,19991001,1999,10,2,4,2,5,3,550
527,2,19991101,1999,11,6,18,3,10,5,900
528,2,19991201,1999,12,2,7,2,3,4,825
529,2,20000101,2000,1,1,3,1,3,1,525
530,2,20000201,2000,2,3,9,2,5,4,800
531,2,20000301,2000,3,1,4,1,3,1,550
532,2,20000401,2000,4,7,17,5,13,6,1550
533,2,20000501,2000,5,7,19,6,16,5,2000
534,2,20000601,2000,6,3,11,2,5,4,925
535,2,20000701,2000,7,4,13,3,7,4,1025
536,2,20000801,2000,8,2,6,2,4,3,825
537,2,20000901,2000,9,5,16,4,8,5,1875
