SaleID,AgentKey,CloseDateKey,ListDateKey,CommunityKey,PropertyTypeKey,SideKey,LeadSourceKey,FinancingKey,BuyerProfileKey,PriceBandKey,ListPrice,SalePrice,PriceVsList,DaysOnMarket,SquareFeet,Bedrooms,Bathrooms,YearBuilt,LotSquareFeet,CommissionRate,GrossCommission,AgentNetCommission,SellerConcession,MapX,MapY
31,1,19880416,19880201,5,1,1,6,2,5,1,153500,145500,-8000,75,1670,2,2,1962,6500,0.022,3201,2721,0,506.7,451.4
32,1,19881103,19880831,1,1,2,3,2,1,1,166500,163000,-3500,64,1620,3,2.5,1956,7500,0.0225,3668,3118,0,253.5,437.8
33,1,19880721,19880530,1,1,2,1,3,2,1,209500,201500,-8000,52,2480,5,4,1959,7350,0.025,5038,4282,1500,239.8,464.7
34,1,19881227,19881021,1,1,2,7,1,2,1,151000,146500,-4500,67,1870,2,2,1962,8700,0.025,3663,3114,0,259.2,454.2
35,1,19880306,19871231,1,1,1,2,3,1,1,190000,186000,-4000,66,1930,3,2.5,1979,5900,0.025500000000000002,4743,4032,0,250.4,465.3
36,1,19880721,19880528,1,1,1,1,3,2,1,200000,203000,3000,54,2320,3,2.5,1986,6850,0.0285,5786,4918,0,243.8,440.8
37,1,19880122,19871204,1,1,2,2,2,2,1,131000,130500,-500,49,1370,2,2,1958,4150,0.025500000000000002,3328,2829,0,243.5,476.4
38,1,19880515,19880327,1,1,1,2,5,2,1,206000,200000,-6000,49,1880,2,2,1955,5250,0.0265,5300,4505,0,249.9,454.9
39,1,19880407,19880126,1,1,1,4,1,5,1,192500,191500,-1000,72,1930,3,2.5,1966,5950,0.03,5745,4883,0,235.3,441.5
40,1,19880914,19880716,1,1,1,3,3,1,1,181500,179000,-2500,60,2040,3,2.5,1979,5100,0.0275,4923,4185,0,246.3,447.8
41,1,19881223,19881028,1,1,1,3,2,5,1,189000,188000,-1000,56,2070,3,2.5,1958,5750,0.022,4136,3516,0,255.3,480.5
42,1,19881022,19880813,1,1,1,1,2,2,1,143500,139000,-4500,70,1680,2,2,1976,5300,0.028,3892,3308,0,241,440.6
43,1,19880304,19871230,5,1,2,3,1,1,1,181500,182000,500,65,1860,3,2.5,1986,6950,0.023,4186,3558,0,520.4,426.4
44,1,19880301,19880115,3,1,1,6,4,2,1,195000,194500,-500,46,2030,4,3.5,1962,7450,0.03,5835,4960,0,475,404.8
45,1,19880414,19880211,1,1,1,3,3,2,1,167000,160000,-7000,63,1540,2,2,1970,4750,0.025500000000000002,4080,3468,0,269.3,453.6
46,1,19880116,19871121,1,1,2,7,6,2,1,178500,173500,-5000,56,1670,3,2.5,1959,7600,0.0245,4251,3613,0,254.9,471.3
47,1,19880928,19880717,1,1,1,2,2,2,1,188000,185000,-3000,73,1550,2,2,1972,7750,0.0225,4163,3539,0,263.5,486.7
48,1,19880525,19880323,1,1,2,6,5,5,1,179500,184500,5000,63,2130,4,3.5,1962,8450,0.022,4059,3450,0,254.4,471.2
49,1,19881002,19880716,1,1,2,3,2,3,1,254000,248000,-6000,78,2340,4,3.5,1956,11400,0.0265,6572,5586,0,252.4,455
50,1,19881015,19880816,1,1,2,2,1,1,1,133000,130000,-3000,60,1570,3,2.5,1974,5200,0.0225,2925,2486,0,248.5,452.5
51,1,19880804,19880616,1,1,1,1,4,2,1,185000,184500,-500,49,2060,3,2.5,1966,9500,0.029,5351,4548,3000,244.6,433.9
52,1,19881218,19881030,1,1,3,5,3,3,1,220000,213500,-6500,49,2090,3,2.5,1975,5600,0.0445,9501,8076,0,256,447.1
53,1,19881002,19880731,1,1,1,3,3,2,2,261500,253500,-8000,63,2060,3,2.5,1976,9650,0.0245,6211,5279,0,244.8,485.7
54,1,19880607,19880328,1,1,1,1,1,2,2,305500,301000,-4500,71,2340,4,3.5,1958,10600,0.0225,6773,5757,0,225.6,465.2
55,1,19880611,19880418,1,1,1,8,2,4,1,149000,149500,500,54,1700,3,2.5,1981,7200,0.025,3738,3177,0,274.1,463
56,1,19880331,19880118,1,1,2,1,1,5,1,139500,137000,-2500,73,1870,3,2.5,1969,5850,0.029,3973,3377,0,248.4,476.7
57,1,19881222,19881024,1,1,1,1,1,2,1,200500,200500,0,59,2000,3,2.5,1972,8800,0.0285,5714,4857,0,232.7,473.6
58,1,19880108,19871117,1,1,1,6,2,1,1,175500,184000,8500,52,2170,4,3.5,1969,10750,0.024,4416,3754,0,265.1,457.9
59,1,19880318,19880128,1,1,1,1,3,2,1,141000,138500,-2500,50,1570,2,2,1987,5200,0.0225,3116,2649,500,231.3,440.1
60,1,19881216,19881025,1,1,1,2,1,4,1,220000,213500,-6500,52,2140,3,2.5,1973,7600,0.0225,4804,4083,0,247.5,437.5
61,1,19880126,19871025,1,1,2,2,2,4,1,217500,208500,-9000,93,1910,3,2.5,1984,8950,0.0225,4691,3987,0,230.8,471.2
62,1,19881015,19880814,1,1,1,2,1,3,1,180000,176000,-4000,62,1930,3,2.5,1961,6100,0.029500000000000002,5192,4413,0,272.4,454.9
63,1,19880714,19880524,1,1,2,2,1,5,1,163500,163500,0,51,1410,2,2,1977,6500,0.0225,3679,3127,0,271.6,464
64,1,19881130,19881008,1,1,1,1,2,5,1,171000,162500,-8500,53,1890,3,2.5,1963,7950,0.0245,3981,3384,0,233.7,443.7
65,1,19880419,19880218,1,1,1,2,1,1,1,201500,192500,-9000,61,1930,3,2.5,1961,5450,0.0275,5294,4500,0,249.9,483.7
66,1,19880730,19880609,1,1,1,3,4,1,1,145000,143500,-1500,51,1360,2,2,1973,5650,0.027,3875,3294,0,241.6,475.2
67,1,19880811,19880622,1,1,1,4,3,5,2,254000,250500,-3500,50,2440,3,2.5,1975,8050,0.025,6263,5324,0,257.1,446
68,1,19880628,19880508,1,1,1,2,2,4,1,231500,227500,-4000,51,2320,3,2.5,1962,9800,0.023,5233,4448,0,230.3,485
69,1,19880207,19871218,1,1,1,3,1,2,1,135000,134500,-500,51,1540,2,2,1978,4650,0.026000000000000002,3497,2972,0,251.8,457.3
70,1,19880225,19880104,1,1,1,3,4,1,1,174500,169500,-5000,52,1700,4,3.5,1965,6850,0.0275,4661,3962,0,230.8,449.3
71,1,19880328,19880205,1,1,1,5,5,1,1,158000,155500,-2500,52,1740,2,2,1979,4200,0.024,3732,3172,0,236.4,463.4
72,1,19880519,19880321,1,1,1,8,1,1,1,187500,182500,-5000,59,1820,2,2,1959,9050,0.027,4928,4189,0,234.8,469.1
73,1,19880425,19880222,1,1,1,2,2,5,1,148500,147500,-1000,63,1560,3,2.5,1972,4500,0.024,3540,3009,0,249.2,437.6
74,1,19880721,19880515,1,1,3,4,6,1,1,155500,152000,-3500,67,1820,3,2.5,1955,5850,0.048,7296,6202,0,249.5,471
75,1,19880222,19871227,1,1,1,1,1,3,1,173500,179000,5500,57,1950,4,3.5,1984,5750,0.028,5012,4260,0,260.8,448.5
76,1,19880630,19880422,1,1,1,1,3,2,1,163500,164000,500,69,1860,3,2.5,1985,5950,0.0245,4018,3415,0,255,451.7
77,1,19880624,19880428,1,1,1,2,2,2,1,150000,146000,-4000,57,1430,2,2,1972,5350,0.028,4088,3475,0,251.7,480.3
78,1,19881214,19881027,1,1,1,1,1,4,1,182000,177000,-5000,48,1750,3,2.5,1966,7600,0.027,4779,4062,0,266.1,447.6
79,1,19880402,19880121,1,1,1,1,3,2,1,129500,129500,0,72,1230,2,2,1967,3700,0.0285,3691,3137,0,261.8,457.8
80,1,19880321,19880109,1,1,1,8,2,5,1,219000,215500,-3500,72,2400,3,2.5,1980,11650,0.027,5819,4946,0,262.2,452
81,1,19880530,19880310,1,1,2,3,1,5,1,224500,223000,-1500,81,1950,4,3.5,1955,9100,0.025500000000000002,5687,4834,0,228.8,445.8
82,1,19880725,19880522,1,1,1,1,1,5,1,248000,244500,-3500,64,2240,3,2.5,1970,9450,0.026000000000000002,6357,5403,0,261.2,454.3
83,1,19880711,19880524,1,1,1,2,1,1,1,221000,216000,-5000,48,2440,4,3.5,1980,8000,0.025,5400,4590,0,225.8,484.8
84,1,19880816,19880621,1,1,2,2,1,4,1,200000,186500,-13500,56,1960,3,2.5,1979,6050,0.024,4476,3805,0,260.1,441.6
85,1,19881114,19880923,1,1,3,2,1,1,1,195000,196000,1000,52,2090,2,2,1962,9100,0.0445,8722,7414,3000,253.4,482.7
86,1,19880210,19871209,1,1,1,1,2,1,1,163500,166500,3000,63,1720,3,2.5,1968,4350,0.025,4163,3539,0,264.8,455.6
87,1,19880517,19880330,1,1,1,3,1,5,1,196500,198000,1500,48,1830,3,2.5,1969,6000,0.0235,4653,3955,0,287.5,489
88,1,19890629,19890430,1,1,1,1,1,4,1,196000,194500,-1500,60,2020,4,3.5,1976,7800,0.0265,5154,4381,0,256.6,467.9
89,1,19890705,19890509,1,1,3,2,1,1,1,199500,194500,-5000,57,1850,3,2.5,1957,6600,0.043000000000000003,8364,7109,0,234.7,466.8
90,1,19890225,19881220,1,1,1,5,1,4,1,183000,183500,500,67,2210,4,3.5,1961,5600,0.027,4955,4212,0,260.6,486.5
91,1,19890802,19890611,1,1,2,2,1,5,1,195000,187500,-7500,52,2020,4,3.5,1957,8400,0.026000000000000002,4875,4144,0,232.6,460.9
92,1,19890729,19890513,1,1,2,2,5,4,2,249500,252000,2500,77,2050,3,2.5,1978,7450,0.027,6804,5783,0,237.9,464.6
93,1,19890406,19890208,1,1,3,2,1,1,1,179500,172500,-7000,57,1900,3,2.5,1983,4600,0.0445,7676,6525,0,254,451.6
94,1,19891011,19890820,1,1,1,1,2,2,1,202000,199000,-3000,52,1910,2,2,1960,6700,0.0275,5473,4652,0,243.9,467.2
95,1,19891211,19891010,1,1,2,4,3,1,1,200500,201500,1000,62,1790,4,3.5,1981,7600,0.029,5844,4967,0,248.8,465.2
96,1,19891221,19891012,1,1,2,1,1,3,1,177500,177000,-500,70,1960,3,2.5,1982,7250,0.03,5310,4514,0,241.3,459.1
97,1,19891110,19890825,1,1,1,4,1,2,1,215500,212000,-3500,77,2070,3,2.5,1971,9700,0.0245,5194,4415,2750,248,453.6
98,1,19890614,19890417,1,1,1,1,4,2,1,236000,225500,-10500,58,2090,4,3.5,1972,8950,0.029,6540,5559,0,235.1,451.8
99,1,19890925,19890809,1,1,1,7,1,2,1,224000,224500,500,47,2200,3,2.5,1965,10350,0.025,5613,4771,0,266.4,437.3
100,1,19890418,19890303,5,1,2,5,3,2,1,160000,156500,-3500,46,1780,3,2.5,1982,8050,0.023,3600,3060,0,552.1,462.7
101,1,19890724,19890507,1,1,1,1,2,3,1,165500,163500,-2000,78,1740,2,2,1983,7300,0.0245,4006,3405,1750,267.4,439.6
102,1,19890821,19890704,1,1,1,4,3,1,1,140000,140500,500,48,1400,3,2.5,1958,5150,0.026000000000000002,3653,3105,0,224.2,462.8
103,1,19890503,19890318,1,1,1,1,1,1,1,241000,240000,-1000,46,2130,4,3.5,1982,5900,0.0245,5880,4998,0,236.5,446.2
104,1,19890603,19890409,1,1,1,4,1,5,1,142500,141000,-1500,55,1610,2,2,1965,5200,0.0285,4019,3416,0,233.5,473.6
105,1,19890721,19890511,1,1,1,3,1,5,1,248500,245000,-3500,71,2060,3,2.5,1985,8450,0.024,5880,4998,0,257.6,457.6
106,1,19891121,19890902,1,1,2,2,2,2,1,170500,172000,1500,80,1700,3,2.5,1961,5500,0.025,4300,3655,0,271.5,487.1
107,1,19890820,19890627,1,1,1,5,1,5,1,208000,200500,-7500,54,2010,3,2.5,1962,8550,0.023,4612,3920,0,256,463.2
108,1,19890222,19881226,1,1,2,5,1,4,1,143000,138500,-4500,58,1330,3,2.5,1977,3800,0.028,3878,3296,0,249.6,467.5
109,1,19890821,19890623,1,1,1,9,4,2,1,154000,148000,-6000,59,1740,2,2,1955,6150,0.027,3996,3397,0,267.2,492.6
110,1,19890526,19890321,1,1,2,3,1,5,1,158500,155500,-3000,66,1690,2,2,1959,5450,0.029500000000000002,4587,3899,0,253.4,463.1
111,1,19890928,19890728,1,1,1,1,3,3,1,164500,158500,-6000,62,1710,2,2,1962,5250,0.025,3963,3369,0,236.2,457.7
112,1,19890511,19890317,1,1,1,2,1,4,1,243000,241000,-2000,55,2340,4,3.5,1973,7400,0.0275,6628,5634,0,253.7,473.5
113,1,19890425,19890307,1,1,1,2,2,5,1,190500,193500,3000,49,1730,3,2.5,1974,5700,0.023,4451,3783,2000,224.5,473.2
114,1,19890128,19881213,1,1,2,2,6,3,1,209000,205500,-3500,46,2000,3,2.5,1979,8700,0.029500000000000002,6062,5153,0,260.4,478.4
115,1,19890213,19881226,1,1,2,1,1,5,1,238500,228000,-10500,49,2380,4,3.5,1970,6100,0.0245,5586,4748,0,258.5,459.9
116,1,19890226,19881226,3,1,1,8,1,2,1,180500,178000,-2500,62,1840,2,2,1965,4950,0.023,4094,3480,0,483.3,408.9
117,1,19890207,19881220,1,1,1,3,4,5,1,111000,111000,0,49,1240,2,2,1986,6200,0.027,2997,2547,0,244.1,473
118,1,19890713,19890526,1,1,2,3,1,1,1,229000,227500,-1500,48,2270,4,3.5,1983,6750,0.029500000000000002,6711,5704,0,241.7,449.9
119,1,19890926,19890801,1,1,1,2,3,4,1,231000,224000,-7000,56,2390,3,2.5,1972,6500,0.025,5600,4760,0,258.4,442.6
120,1,19890516,19890309,1,1,2,1,6,2,1,139500,138500,-1000,68,1660,2,2,1981,7950,0.0265,3670,3120,0,254.4,448.2
121,1,19890627,19890504,1,1,1,2,6,1,1,229500,224500,-5000,54,2080,4,3.5,1982,10200,0.0245,5500,4675,0,262,467
122,1,19891009,19890823,1,1,1,1,3,1,1,222000,214000,-8000,47,2010,3,2.5,1975,5250,0.0285,6099,5184,1000,248.6,475.5
123,1,19891021,19890816,1,1,1,2,6,5,1,154000,149000,-5000,66,1740,2,2,1969,8000,0.0235,3502,2977,0,275.6,449.3
124,1,19890708,19890519,1,1,1,5,1,2,1,217000,208000,-9000,50,2200,4,3.5,1956,6600,0.0245,5096,4332,0,238.2,494.6
125,1,19890926,19890727,1,1,1,3,1,5,1,141500,137500,-4000,61,1490,2,2,1982,5450,0.0245,3369,2864,2000,231.4,440.1
126,1,19890313,19881210,1,1,2,2,1,4,1,257500,249000,-8500,93,2160,3,2.5,1970,10350,0.025500000000000002,6350,5398,0,246.7,452.4
127,1,19890623,19890505,1,1,1,2,2,2,1,146500,142000,-4500,49,1450,2,2,1979,4200,0.0245,3479,2957,0,256.9,440.3
128,1,19890206,19881201,1,1,1,9,1,1,1,178500,172000,-6500,67,1710,3,2.5,1959,6400,0.027,4644,3947,0,253.3,456.2
129,1,19890924,19890802,5,1,1,2,3,5,1,168500,163500,-5000,53,1780,2,2,1970,5700,0.025,4088,3475,0,526.1,444.5
130,1,19891111,19890901,5,1,2,1,1,2,1,173500,163000,-10500,71,1750,2,2,1965,6450,0.022,3586,3048,0,518.3,427.3
131,1,19890401,19890204,1,1,1,3,1,3,2,266000,261500,-4500,56,2070,4,3.5,1955,8250,0.0275,7191,6112,0,243.3,459.2
132,1,19891016,19890810,1,1,1,3,3,2,1,221000,221500,500,67,1940,4,3.5,1975,9250,0.022,4873,4142,0,251.7,469.9
133,1,19890711,19890518,1,1,1,9,4,1,1,171500,166000,-5500,54,1550,2,2,1957,6200,0.0225,3735,3175,2000,262.3,464.7
134,1,19890616,19890416,1,1,1,4,6,6,1,202000,195500,-6500,61,1800,2,2,1980,8100,0.029500000000000002,5767,4902,0,241.9,463.7
135,1,19891227,19891105,1,1,1,2,6,1,1,157500,152000,-5500,52,1680,3,2.5,1962,4550,0.0275,4180,3553,0,253.1,468.9
136,1,19890827,19890630,1,1,2,2,1,5,1,234500,230000,-4500,58,2400,4,3.5,1960,7800,0.025,5750,4888,0,262,467
137,1,19890522,19890319,5,1,2,1,1,2,1,189500,185000,-4500,64,1950,3,2.5,1974,4750,0.0245,4533,3853,0,518.3,423.9
138,1,19890924,19890724,1,1,1,3,4,5,1,247000,244000,-3000,62,2360,3,2.5,1957,9600,0.03,7320,6222,0,252.3,461.9
139,1,19891025,19890904,1,1,1,6,1,5,1,178500,178000,-500,51,1470,3,2.5,1961,4650,0.026000000000000002,4628,3934,0,247.5,460.5
140,1,19890223,19881224,1,1,2,3,1,3,1,209000,204500,-4500,61,1880,3,2.5,1961,5350,0.025,5113,4346,0,219,448.7
141,1,19890530,19890404,5,1,1,2,3,5,1,195500,191500,-4000,56,2300,4,3.5,1974,10150,0.024,4596,3907,0,541.2,428.9
142,1,19891220,19891020,1,1,1,6,1,1,1,175500,171500,-4000,61,1890,3,2.5,1984,9050,0.03,5145,4373,0,246.7,451.3
143,1,19890525,19890310,1,1,2,2,4,1,1,123500,118000,-5500,76,1280,2,2,1963,3450,0.026000000000000002,3068,2608,0,276.1,460.8
144,1,19891003,19890809,1,1,1,1,5,2,1,171000,168500,-2500,55,1640,3,2.5,1973,4100,0.0285,4802,4082,0,256.7,467.9
145,1,19890907,19890720,1,1,2,4,1,5,1,216500,216500,0,49,2110,3,2.5,1961,10200,0.025500000000000002,5521,4693,0,265.4,451.1
146,1,19890127,19881209,1,1,1,8,4,6,1,164500,163500,-1000,49,1540,3,2.5,1988,5600,0.0265,4333,3683,0,239.2,502.7
147,1,19890525,19890407,1,1,1,9,1,5,1,210000,208500,-1500,48,1960,3,2.5,1986,5400,0.025,5213,4431,0,233.7,493.2
148,1,19890827,19890704,1,1,2,1,3,1,1,186500,178000,-8500,54,1790,3,2.5,1973,6700,0.028,4984,4236,0,240.2,460.2
149,1,19891105,19890910,1,1,2,8,1,3,1,209000,211000,2000,56,1900,4,3.5,1985,4600,0.025500000000000002,5381,4574,0,225.8,462.9
150,1,19890526,19890323,3,1,1,1,2,6,1,163500,164500,1000,64,1770,3,2.5,1982,8500,0.0245,4030,3426,0,454.8,402.3
151,1,19890820,19890701,1,1,2,3,6,2,1,246000,240500,-5500,50,2030,3,2.5,1986,9550,0.025500000000000002,6133,5213,0,259.1,463.4
152,1,19890713,19890520,1,1,1,2,1,5,2,256000,253500,-2500,54,2160,3,2.5,1982,10700,0.028,7098,6033,0,259.3,451.9
153,1,19890719,19890520,1,1,2,1,2,3,1,228500,225500,-3000,60,2230,3,2.5,1965,7450,0.024,5412,4600,0,229.3,460.8
154,1,19891228,19891112,1,1,1,1,1,2,2,261500,252000,-9500,46,2130,3,2.5,1983,7700,0.0225,5670,4820,0,268.3,477.7
155,1,19890701,19890421,1,1,1,8,3,2,1,210000,204000,-6000,71,2200,4,3.5,1971,7300,0.027,5508,4682,3250,253,476.9
156,1,19891025,19890724,1,1,1,9,4,1,1,214500,202000,-12500,93,1830,3,2.5,1967,6850,0.0285,5757,4893,0,252.9,457.3
157,1,19890714,19890512,3,1,2,8,2,2,1,169500,165500,-4000,63,1630,3,2.5,1959,4250,0.028,4634,3939,0,470.9,398.7
158,1,19891104,19890825,1,1,1,2,1,3,2,295500,284500,-11000,71,2440,3,2.5,1962,6700,0.0275,7824,6650,0,260.8,468.1
159,1,19890716,19890510,1,1,2,1,4,5,2,258000,251000,-7000,67,2340,4,3.5,1978,9000,0.024,6024,5120,0,241.3,475.2
160,1,19890609,19890410,1,1,1,2,1,2,1,154000,150500,-3500,60,1530,3,2.5,1960,4600,0.0235,3537,3006,0,255.4,458.6
161,1,19890914,19890727,1,1,1,2,3,3,1,178000,176000,-2000,49,1670,3,2.5,1988,4850,0.026000000000000002,4576,3890,0,253.5,451.6
162,1,19890220,19890102,1,1,1,9,1,1,1,112000,107000,-5000,49,1530,3,2.5,1983,4700,0.025,2675,2274,0,262.2,442.8
163,1,19890822,19890624,1,1,1,8,1,3,1,242000,240500,-1500,59,2390,3,2.5,1971,11700,0.029,6975,5929,0,234.1,477.1
164,1,19890718,19890515,1,1,2,3,3,1,1,220000,215000,-5000,64,2070,3,2.5,1985,6000,0.029,6235,5300,0,252.2,486.1
165,1,19890218,19881214,1,1,1,2,1,2,1,125500,125000,-500,66,1630,2,2,1971,4000,0.0285,3563,3029,0,266.5,474.1
166,1,19890424,19890305,1,1,2,5,1,2,1,238500,232500,-6000,50,2180,3,2.5,1978,8350,0.023,5348,4546,0,240.1,475.1
167,1,19900523,19900401,1,1,1,1,1,1,1,180500,175500,-5000,52,2010,4,3.5,1978,8500,0.0265,4651,3953,0,229.1,437.7
168,1,19900723,19900529,5,1,2,1,6,1,1,190000,186000,-4000,55,2070,4,3.5,1960,9800,0.026000000000000002,4836,4111,0,528.8,452.9
169,1,19900719,19900520,1,1,2,2,2,3,2,278000,273500,-4500,60,2230,3,2.5,1970,9150,0.0285,7795,6626,0,247.5,472
170,1,19900119,19891128,1,1,2,4,1,5,1,228500,224000,-4500,52,2020,4,3.5,1987,9600,0.023,5152,4379,0,236.7,453.1
171,1,19901024,19900806,3,1,3,1,4,1,1,197000,194000,-3000,79,1870,3,2.5,1975,5950,0.0465,9021,7668,0,467.1,406.6
172,1,19900505,19900311,1,1,2,3,4,2,1,151500,147500,-4000,55,1610,2,2,1964,6750,0.0225,3319,2821,0,245.5,476.5
173,1,19900727,19900607,1,1,1,1,1,5,1,183500,182500,-1000,50,1910,3,2.5,1964,5250,0.022,4015,3413,0,260,432.4
174,1,19901122,19900929,1,1,1,3,5,5,1,195000,192000,-3000,54,2170,3,2.5,1956,9950,0.023,4416,3754,0,248.4,496.3
175,1,19900517,19900317,1,1,1,4,1,5,1,235000,230500,-4500,61,2530,4,3.5,1973,9650,0.0235,5417,4604,0,273.2,473.3
176,1,19901116,19900903,1,1,1,3,2,5,1,206000,199500,-6500,74,1990,3,2.5,1962,6700,0.0265,5287,4494,0,256.6,455.2
177,1,19901108,19900909,1,1,1,2,1,1,1,178000,172500,-5500,60,1650,3,2.5,1989,6600,0.029500000000000002,5089,4326,0,252.9,476.9
178,1,19901124,19900930,1,1,2,1,6,2,1,170000,172500,2500,55,1600,2,2,1978,5350,0.025500000000000002,4399,3739,0,263.6,475.1
179,1,19901229,19901102,1,1,1,4,5,1,1,228000,219000,-9000,57,1940,4,3.5,1958,5450,0.025,5475,4654,0,241.5,457.9
180,1,19900929,19900803,1,1,1,5,1,1,1,253500,249000,-4500,57,2100,3,2.5,1964,6750,0.023,5727,4868,4000,252.7,460.8
181,1,19900722,19900528,1,1,1,1,1,5,1,146000,142000,-4000,55,1370,2,2,1982,3650,0.0285,4047,3440,1500,272.3,419.2
182,1,19900501,19900315,1,1,1,2,2,4,1,195000,193000,-2000,47,1700,3,2.5,1961,5700,0.029500000000000002,5694,4840,2250,257.2,473.7
183,1,19901226,19901030,1,1,1,3,2,4,1,220000,213000,-7000,57,2160,3,2.5,1967,8600,0.023,4899,4164,0,249.3,484.8
184,1,19901006,19900721,1,1,1,2,4,1,1,220500,218000,-2500,77,2290,4,3.5,1973,11300,0.0275,5995,5096,0,256.2,454
185,1,19901210,19901016,1,1,1,2,1,2,1,230500,225500,-5000,55,2000,4,3.5,1968,5200,0.026000000000000002,5863,4984,0,253.3,482.7
186,1,19900724,19900525,1,1,1,1,1,5,1,229000,222500,-6500,60,1950,3,2.5,1968,6450,0.024,5340,4539,0,253.6,464.3
