id,title,address,city,views,age,ageYears,titleStyle,url
"giODPBTi2eI","Stunning Forecast 4 BR remodeled home at 2109 Ashley Ln Tracy CA.","2109 Ashley Ln","Tracy","16","2 months ago","0.17","remark + address","https://www.youtube.com/watch?v=giODPBTi2eI"
"Dg-_BLcyDLc","Dynamite remodeled 4 bedroom home at 1821 Wall St Tracy CA.","1821 Wall St","Tracy","11","2 months ago","0.17","remark + address","https://www.youtube.com/watch?v=Dg-_BLcyDLc"
"P6UV3HTF9pg","Completely remodeled & like-new 4 bedroom home at 791 Chestnut Ave Tracy CA.","791 Chestnut Ave","Tracy","18","2 months ago","0.17","remark + address","https://www.youtube.com/watch?v=P6UV3HTF9pg"
"KgCQ_IJoyQU","Remodeled kitchen & large pie-shaped backyard in Regency Square at 1555 Monterey Ct Tracy CA.","1555 Monterey Ct","Tracy","4","2 months ago","0.17","remark + address","https://www.youtube.com/watch?v=KgCQ_IJoyQU"
"5Ct6u6QK1Lw","New LVP flooring & plantation shutters in Del Webb Woodbridge at 2507 Bellchase Dr Manteca CA.","2507 Bellchase Dr","Manteca","9","2 months ago","0.17","remark + address","https://www.youtube.com/watch?v=5Ct6u6QK1Lw"
"hEtf_SEFdnc","Backyard water feature in Del Webb Woodbridge neighborhood at 2634 Steeple Run Ln Manteca CA.","2634 Steeple Run Ln","Manteca","14","2 months ago","0.17","remark + address","https://www.youtube.com/watch?v=hEtf_SEFdnc"
"KBSSENEjQcc","Country home on 1.49 acres with pool at 27701 Fairoaks Rd Tracy CA.","27701 Fairoaks Rd","Tracy","86","2 months ago","0.17","remark + address","https://www.youtube.com/watch?v=KBSSENEjQcc"
"cghz-xXTfDw","Over 1/3 acre corner lot in cul-de-sac with 3,700 sf home at 2408 Victor Ct Tracy CA.","700 sf home at 2408 Victor Ct","Tracy","26","2 months ago","0.17","remark + address","https://www.youtube.com/watch?v=cghz-xXTfDw"
"mFX933YMFzI","Rare 4 BR 1-story home on corner lot at 436 Chase St Mountain House CA","436 Chase St","Mountain House","16","2 months ago","0.17","remark + address","https://www.youtube.com/watch?v=mFX933YMFzI"
"i3T_LvQ2OyI","Model-like home with 4 BR's below $600k at 688 Chestnut Ave Tracy CA.","688 Chestnut Ave","Tracy","39","3 months ago","0.25","remark + address","https://www.youtube.com/watch?v=i3T_LvQ2OyI"
"12DDuU1PU3Y","Active adult home in Manteca CA's Del Webb Woodbridge at 2442 Pepper Tree Ln","2442 Pepper Tree Ln","Manteca","59","3 months ago","0.25","remark + address","https://www.youtube.com/watch?v=12DDuU1PU3Y"
"ybRnBUtlTbU","Rare Tracy CA newer and large 1-story home in Hidden Lake at 1172 David Senft Ln","1172 David Senft Ln","Tracy","113","3 months ago","0.25","remark + address","https://www.youtube.com/watch?v=ybRnBUtlTbU"
"mg7jXLcGBGM","Desirable Glenbrook neighborhood in a cul-de-sac at 2868 Joleo Ct Tracy CA","2868 Joleo Ct","Tracy","32","3 months ago","0.25","remark + address","https://www.youtube.com/watch?v=mg7jXLcGBGM"
"-Gua0px5eCw","Charming and remodeled home at 244 Laurelwood Cir Manteca CA","244 Laurelwood Cir","Manteca","19","3 months ago","0.25","remark + address","https://www.youtube.com/watch?v=-Gua0px5eCw"
"4l6Q0b0o9-g","Country home on 2 acres at 8540 Bates Ct in Tracy CA","8540 Bates Ct","Tracy","57","4 months ago","0.33","remark + address","https://www.youtube.com/watch?v=4l6Q0b0o9-g"
"dmyhGqqUhp4","6 bedroom home for sale at 53 Argillite Ave Lathrop CA","53 Argillite Ave","Lathrop","20","4 months ago","0.33","address-only","https://www.youtube.com/watch?v=dmyhGqqUhp4"
"ToFdEQIajKk","Half acre lot with shop at 940 Constitution Way Tracy CA","940 Constitution Way","Tracy","43","4 months ago","0.33","remark + address","https://www.youtube.com/watch?v=ToFdEQIajKk"
"KcpMBPA5LFw","Del Webb Woodbridge home at 1644 Remington Oaks St in Manteca CA","1644 Remington Oaks St","Manteca","28","4 months ago","0.33","remark + address","https://www.youtube.com/watch?v=KcpMBPA5LFw"
"emRav3MffPA","Tracy CA updated home in a court at 1410 McDermott Ct","1410 McDermott Ct","Tracy","11","4 months ago","0.33","remark + address","https://www.youtube.com/watch?v=emRav3MffPA"
"J9moFvRLXO8","Many upgrades in this Tracy CA home at 329 Redwood Ave","329 Redwood Ave","Tracy","18","4 months ago","0.33","remark + address","https://www.youtube.com/watch?v=J9moFvRLXO8"
"mKMttlnhN90","For sale 4 bedroom home with loft at 1827 Groveview Way Tracy CA","1827 Groveview Way","Tracy","39","4 months ago","0.33","remark + address","https://www.youtube.com/watch?v=mKMttlnhN90"
"-1IlM4_1edE","Charming Tracy CA home with many updates at 1841 S Willow Creek Dr","1841 S Willow Creek Dr","Tracy","11","5 months ago","0.42","remark + address","https://www.youtube.com/watch?v=-1IlM4_1edE"
"V2qxx4AW0-8","Model like home in Manteca CA at 292 Postma St","292 Postma St","Manteca","4","5 months ago","0.42","remark + address","https://www.youtube.com/watch?v=V2qxx4AW0-8"
"vdg93I0HidE","Dynamite River Islands home in Lathrop CA at 18481 Keswick Dr","18481 Keswick Dr","River Islands","20","5 months ago","0.42","remark + address","https://www.youtube.com/watch?v=vdg93I0HidE"
"-9X0S6DU7AQ","Like-new Tracy CA home at 2413 Augusta Ave","2413 Augusta Ave","Tracy","14","5 months ago","0.42","remark + address","https://www.youtube.com/watch?v=-9X0S6DU7AQ"
"MjvtFx4aIjY","Sparking pool and 3-car garage Tracy CA home at 1540 Meadow Lark Ln","1540 Meadow Lark Ln","Tracy","34","5 months ago","0.42","remark + address","https://www.youtube.com/watch?v=MjvtFx4aIjY"
"_SX6c9jf39Q","427 Golf Cir West Manteca CA","427 Golf Cir","Manteca","16","5 months ago","0.42","address-only","https://www.youtube.com/watch?v=_SX6c9jf39Q"
"3WIch1cGTF4","2720 Maple Grove Ave Manteca CA","2720 Maple Grove Ave","Manteca","13","6 months ago","0.5","address-only","https://www.youtube.com/watch?v=3WIch1cGTF4"
"ZbzkOd7sKnI","2498 Pepper Tree Ln Manteca CA","2498 Pepper Tree Ln","Manteca","22","6 months ago","0.5","address-only","https://www.youtube.com/watch?v=ZbzkOd7sKnI"
"FUh0AwmV0sA","16152 Adobe Way Lathrop CA","16152 Adobe Way","Lathrop","14","6 months ago","0.5","address-only","https://www.youtube.com/watch?v=FUh0AwmV0sA"
"KfWF_316zps","1533 Vinewood Way Tracy CA","1533 Vinewood Way","Tracy","10","6 months ago","0.5","address-only","https://www.youtube.com/watch?v=KfWF_316zps"
"7QInTU_-3rI","1324 Chestnut Hill Dr Manteca CA","1324 Chestnut Hill Dr","Manteca","23","6 months ago","0.5","address-only","https://www.youtube.com/watch?v=7QInTU_-3rI"
"ORvxBIFjkKQ","292 W St Francis Ave Mountain House CA","292 W St Francis Ave","Mountain House","16","6 months ago","0.5","address-only","https://www.youtube.com/watch?v=ORvxBIFjkKQ"
"Hw-0uyX5oxo","579 Laki Pl Manteca CA","579 Laki Pl","Manteca","22","6 months ago","0.5","address-only","https://www.youtube.com/watch?v=Hw-0uyX5oxo"
"VgImG-WEfhI","2305 Augusta Ave Tracy CA","2305 Augusta Ave","Tracy","11","7 months ago","0.58","address-only","https://www.youtube.com/watch?v=VgImG-WEfhI"
"L3qfCNgIpSI","319 W 12 th St Tracy CA","319 W 12 th St","Tracy","17","7 months ago","0.58","address-only","https://www.youtube.com/watch?v=L3qfCNgIpSI"
"Sz-rCIR4yPA","839 Williams St Tracy CA","839 Williams St","Tracy","21","7 months ago","0.58","address-only","https://www.youtube.com/watch?v=Sz-rCIR4yPA"
"9uwV2BWYn44","1050 Belmont Ln Tracy CA","1050 Belmont Ln","Tracy","16","7 months ago","0.58","address-only","https://www.youtube.com/watch?v=9uwV2BWYn44"
"_OuXZemAI7s","1644 Remington Oaks St Manteca CA","1644 Remington Oaks St","Manteca","8","7 months ago","0.58","address-only","https://www.youtube.com/watch?v=_OuXZemAI7s"
"dAs8_Uhe5qQ","18383 Dalton Ct Lathrop CA","18383 Dalton Ct","Lathrop","14","7 months ago","0.58","address-only","https://www.youtube.com/watch?v=dAs8_Uhe5qQ"
"y_a5jVE-710","1393 Cobblecreek St Manteca CA","1393 Cobblecreek St","Manteca","11","8 months ago","0.67","address-only","https://www.youtube.com/watch?v=y_a5jVE-710"
"7KhLJv8po98","2494 Redbud Way Manteca CA","2494 Redbud Way","Manteca","19","8 months ago","0.67","address-only","https://www.youtube.com/watch?v=7KhLJv8po98"
"hbrLgAFJnvY","34 James Ct Tracy CA","34 James Ct","Tracy","83","9 months ago","0.75","address-only","https://www.youtube.com/watch?v=hbrLgAFJnvY"
"NCSdVGL7kIU","23344 Tsirelas Dr Tracy CA","23344 Tsirelas Dr","Tracy","23","9 months ago","0.75","address-only","https://www.youtube.com/watch?v=NCSdVGL7kIU"
"k2rcS6_mDAI","1680 Southbrook St Tracy CA","1680 Southbrook St","Tracy","46","9 months ago","0.75","address-only","https://www.youtube.com/watch?v=k2rcS6_mDAI"
"k0koiSGKKWc","320 Accipiter Ct Tracy CA","320 Accipiter Ct","Tracy","14","9 months ago","0.75","address-only","https://www.youtube.com/watch?v=k0koiSGKKWc"
"67SipxU8N2w","34 Pereira Ave Tracy CA","34 Pereira Ave","Tracy","26","9 months ago","0.75","address-only","https://www.youtube.com/watch?v=67SipxU8N2w"
"V5464Jykr0w","2421 Shady Oak Pl Manteca CA","2421 Shady Oak Pl","Manteca","19","10 months ago","0.83","address-only","https://www.youtube.com/watch?v=V5464Jykr0w"
"fQn20hlCCCo","2333 Jigsaw Ave Manteca CA","2333 Jigsaw Ave","Manteca","10","10 months ago","0.83","address-only","https://www.youtube.com/watch?v=fQn20hlCCCo"
"5ceYb_Cw-6A","747 Iberis Way Tracy CA","747 Iberis Way","Tracy","4","10 months ago","0.83","address-only","https://www.youtube.com/watch?v=5ceYb_Cw-6A"
"9P_fjdY3ehc","261 Butte Way Tracy CA","261 Butte Way","Tracy","25","11 months ago","0.92","address-only","https://www.youtube.com/watch?v=9P_fjdY3ehc"
"eWGNg1w5rPI","2592 Shadow Berry Dr Manteca CA","2592 Shadow Berry Dr","Manteca","23","11 months ago","0.92","address-only","https://www.youtube.com/watch?v=eWGNg1w5rPI"
"gFscmH5uwcQ","17377 Pheasant Downs Rd Lathrop CA","17377 Pheasant Downs Rd","Lathrop","12","11 months ago","0.92","address-only","https://www.youtube.com/watch?v=gFscmH5uwcQ"
"l_28iHKvLcs","1835 Foxtail Way Tracy CA","1835 Foxtail Way","Tracy","10","11 months ago","0.92","address-only","https://www.youtube.com/watch?v=l_28iHKvLcs"
"xAQA2KUba04","485 Cape Breton Ln Tracy CA","485 Cape Breton Ln","Tracy","5","11 months ago","0.92","address-only","https://www.youtube.com/watch?v=xAQA2KUba04"
"DDG4GBdIM88","1273 Cochran Dr Tracy CA","1273 Cochran Dr","Tracy","14","11 months ago","0.92","address-only","https://www.youtube.com/watch?v=DDG4GBdIM88"
"yfSLcZTntRQ","2512 Chimney Point Way Manteca CA","2512 Chimney Point Way","Manteca","17","1 year ago","1","address-only","https://www.youtube.com/watch?v=yfSLcZTntRQ"
"2thcvdqa5R0","1625 Jasmine Ct Tracy CA","1625 Jasmine Ct","Tracy","24","1 year ago","1","address-only","https://www.youtube.com/watch?v=2thcvdqa5R0"
"QWWU5Ji0iy0","1011 Kennedy Pl Tracy CA","1011 Kennedy Pl","Tracy","22","1 year ago","1","address-only","https://www.youtube.com/watch?v=QWWU5Ji0iy0"
"Jgg_MVXqkAs","195 Cedar Mountain Dr Tracy CA","195 Cedar Mountain Dr","Tracy","28","1 year ago","1","address-only","https://www.youtube.com/watch?v=Jgg_MVXqkAs"
"iOFRH3HC3aU","1341 Appalosa Ct Tracy CA","1341 Appalosa Ct","Tracy","14","1 year ago","1","address-only","https://www.youtube.com/watch?v=iOFRH3HC3aU"
"1Rh6qwf3T58","1228 Venice Way Manteca CA","1228 Venice Way","Manteca","30","1 year ago","1","address-only","https://www.youtube.com/watch?v=1Rh6qwf3T58"
"5fFpCqfCcSg","322 Kelley Mist Ct Tracy CA","322 Kelley Mist Ct","Tracy","41","1 year ago","1","address-only","https://www.youtube.com/watch?v=5fFpCqfCcSg"
"VXFNIQhvNmo","4673 Morning Brook Ln Tracy CA","4673 Morning Brook Ln","Tracy","15","1 year ago","1","address-only","https://www.youtube.com/watch?v=VXFNIQhvNmo"
"1HhNqkW18II","1490 Riva Trigoso Dr Manteca CA","1490 Riva Trigoso Dr","Manteca","41","1 year ago","1","address-only","https://www.youtube.com/watch?v=1HhNqkW18II"
"N_JWAm5f1XE","1451 Harvest Ln Tracy CA","1451 Harvest Ln","Tracy","17","1 year ago","1","address-only","https://www.youtube.com/watch?v=N_JWAm5f1XE"
"JwnUr8oqFs8","1580 Andrew St Tracy CA","1580 Andrew St","Tracy","11","1 year ago","1","address-only","https://www.youtube.com/watch?v=JwnUr8oqFs8"
"f7-knJ59ccw","728 Bobcat Ln Manteca CA","728 Bobcat Ln","Manteca","26","1 year ago","1","address-only","https://www.youtube.com/watch?v=f7-knJ59ccw"
"-JWdf7lWRLU","2443 Belle Glade Ln Manteca CA","2443 Belle Glade Ln","Manteca","57","1 year ago","1","address-only","https://www.youtube.com/watch?v=-JWdf7lWRLU"
"klUeJXyChS0","1846 Bankston Dr Tracy CA","1846 Bankston Dr","Tracy","16","1 year ago","1","address-only","https://www.youtube.com/watch?v=klUeJXyChS0"
"M0c1c-u605o","1120 Cherry Blossom Ln Tracy CA","1120 Cherry Blossom Ln","Tracy","12","1 year ago","1","address-only","https://www.youtube.com/watch?v=M0c1c-u605o"
"R_m6YvoOLKc","1377 Cobblecreek St Manteca CA","1377 Cobblecreek St","Manteca","16","1 year ago","1","address-only","https://www.youtube.com/watch?v=R_m6YvoOLKc"
"dU00kV4_BCI","662 W Gravino Dr Mountain House CA","662 W Gravino Dr","Mountain House","5","1 year ago","1","address-only","https://www.youtube.com/watch?v=dU00kV4_BCI"
"cYlRUez3tfM","741 Greenford Ct Tracy CA","741 Greenford Ct","Tracy","25","1 year ago","1","address-only","https://www.youtube.com/watch?v=cYlRUez3tfM"
"FnPWyZ4OKfI","6707 Verbena St Tracy CA","6707 Verbena St","Tracy","19","1 year ago","1","address-only","https://www.youtube.com/watch?v=FnPWyZ4OKfI"
"eVYObmVgO1o","2333 Gretchen Elizabeth Ct Tracy CA","2333 Gretchen Elizabeth Ct","Tracy","11","1 year ago","1","address-only","https://www.youtube.com/watch?v=eVYObmVgO1o"
"kJx2BbrMQX8","2283 Holtspur Ct Tracy CA","2283 Holtspur Ct","Tracy","22","1 year ago","1","address-only","https://www.youtube.com/watch?v=kJx2BbrMQX8"
"XY7KqoyLwbs","2004 London Ave Promo","2004 London Ave","Unknown","27","1 year ago","1","address-only","https://www.youtube.com/watch?v=XY7KqoyLwbs"
"RmkFDSxp8no","1794 Woodland Ln Tracy CA","1794 Woodland Ln","Tracy","31","1 year ago","1","address-only","https://www.youtube.com/watch?v=RmkFDSxp8no"
"_KhaivI0K2c","1301 Rusher St Tracy CA","1301 Rusher St","Tracy","13","1 year ago","1","address-only","https://www.youtube.com/watch?v=_KhaivI0K2c"
"bDQLrzwDB5w","677 Harold Smith Dr Tracy CA","677 Harold Smith Dr","Tracy","22","1 year ago","1","address-only","https://www.youtube.com/watch?v=bDQLrzwDB5w"
"HtWjoy1on3M","1583 Roger Dr Tracy CA","1583 Roger Dr","Tracy","24","1 year ago","1","address-only","https://www.youtube.com/watch?v=HtWjoy1on3M"
"XiNwev9IjQM","4687 Glenbrook Dr Tracy CA","4687 Glenbrook Dr","Tracy","77","1 year ago","1","address-only","https://www.youtube.com/watch?v=XiNwev9IjQM"
"oT8AmOV-QDY","240 N Ventura St Mountain House CA","240 N Ventura St","Mountain House","12","1 year ago","1","address-only","https://www.youtube.com/watch?v=oT8AmOV-QDY"
"rvk12u8btiE","2219 Carol Ann Dr Tracy CA","2219 Carol Ann Dr","Tracy","29","1 year ago","1","address-only","https://www.youtube.com/watch?v=rvk12u8btiE"
"JVGzWNAxV1E","548 Dale's Pony Dr Oakdale CA","548 Dale's Pony Dr","Oakdale","19","1 year ago","1","address-only","https://www.youtube.com/watch?v=JVGzWNAxV1E"
"JXqRB12g3SM","521 McDowell Way Tracy CA","521 McDowell Way","Tracy","28","1 year ago","1","address-only","https://www.youtube.com/watch?v=JXqRB12g3SM"
"X8AAy1jXuYw","1255 Lonna Way Tracy CA","1255 Lonna Way","Tracy","19","1 year ago","1","address-only","https://www.youtube.com/watch?v=X8AAy1jXuYw"
"gt3m0c-JxTk","1392 Mill Run Ct Manteca CA","1392 Mill Run Ct","Manteca","16","1 year ago","1","address-only","https://www.youtube.com/watch?v=gt3m0c-JxTk"
"CeBSz7J7pls","14535 Arapaho Way Manteca CA","14535 Arapaho Way","Manteca","14","1 year ago","1","address-only","https://www.youtube.com/watch?v=CeBSz7J7pls"
"vYYiDfGGYbc","1340 Renown Dr Tracy CA","1340 Renown Dr","Tracy","27","1 year ago","1","address-only","https://www.youtube.com/watch?v=vYYiDfGGYbc"
"oGWMWeBJxuc","2387 Rose Briar Pl Manteca CA","2387 Rose Briar Pl","Manteca","21","1 year ago","1","address-only","https://www.youtube.com/watch?v=oGWMWeBJxuc"
"nyXk_-mOwF0","1760 Thicket Ct Tracy CA","1760 Thicket Ct","Tracy","42","1 year ago","1","address-only","https://www.youtube.com/watch?v=nyXk_-mOwF0"
"iJ2YPVp5tc8","2124 Sanctuary Way Manteca CA","2124 Sanctuary Way","Manteca","17","1 year ago","1","address-only","https://www.youtube.com/watch?v=iJ2YPVp5tc8"
"eEEvtl8b3IY","2953 Campbell Ln Tracy CA","2953 Campbell Ln","Tracy","46","1 year ago","1","address-only","https://www.youtube.com/watch?v=eEEvtl8b3IY"
"Jifyw-qkSa0","2170 Bentley Ln Promo","2170 Bentley Ln","Unknown","9","1 year ago","1","address-only","https://www.youtube.com/watch?v=Jifyw-qkSa0"
"jQOP4QGtCT0","2536 Mia Way Tracy CA","2536 Mia Way","Tracy","19","1 year ago","1","address-only","https://www.youtube.com/watch?v=jQOP4QGtCT0"
"uWZWzjSxybU","1493 Ray Harvey Dr Tracy CA","1493 Ray Harvey Dr","Tracy","51","1 year ago","1","address-only","https://www.youtube.com/watch?v=uWZWzjSxybU"
"bcoF6ArRDWk","1260 Brighton Dr Tracy CA","1260 Brighton Dr","Tracy","13","1 year ago","1","address-only","https://www.youtube.com/watch?v=bcoF6ArRDWk"
"BKnmiXnD9kA","1324 Chestnut Hill Dr Manteca CA","1324 Chestnut Hill Dr","Manteca","17","1 year ago","1","address-only","https://www.youtube.com/watch?v=BKnmiXnD9kA"
"IhjqLcRZpek","1359 Chestnut Hill Dr Manteca CA","1359 Chestnut Hill Dr","Manteca","22","1 year ago","1","address-only","https://www.youtube.com/watch?v=IhjqLcRZpek"
"GNydhAjEt-w","1477 Gentry Ln Tracy CA","1477 Gentry Ln","Tracy","16","1 year ago","1","address-only","https://www.youtube.com/watch?v=GNydhAjEt-w"
"5uPOLoR7dNk","350 Pepperwood Ct Tracy CA","350 Pepperwood Ct","Tracy","53","1 year ago","1","address-only","https://www.youtube.com/watch?v=5uPOLoR7dNk"
"oT3WQEOMLv8","1461 Higton St Manteca CA","1461 Higton St","Manteca","43","1 year ago","1","address-only","https://www.youtube.com/watch?v=oT3WQEOMLv8"
"QyXrK4sMxTU","2767 Damask Ct Manteca CA","2767 Damask Ct","Manteca","13","1 year ago","1","address-only","https://www.youtube.com/watch?v=QyXrK4sMxTU"
"BlLaURp7OD4","2253 Holtspur Ct Tracy CA","2253 Holtspur Ct","Tracy","14","1 year ago","1","address-only","https://www.youtube.com/watch?v=BlLaURp7OD4"
"uvI-23MuyxU","2417 River Berry Dr Manteca CA","2417 River Berry Dr","Manteca","29","1 year ago","1","address-only","https://www.youtube.com/watch?v=uvI-23MuyxU"
"iZ5ljaidGEo","29511 S Chrisman Rd Tracy CA","29511 S Chrisman Rd","Tracy","116","1 year ago","1","address-only","https://www.youtube.com/watch?v=iZ5ljaidGEo"
"lc8qbZCGmLk","1164 Silver Brook Pl Manteca CA","1164 Silver Brook Pl","Manteca","14","1 year ago","1","address-only","https://www.youtube.com/watch?v=lc8qbZCGmLk"
"fRNthFOM2WA","1366 Mansfield St Tracy CA","1366 Mansfield St","Tracy","40","1 year ago","1","address-only","https://www.youtube.com/watch?v=fRNthFOM2WA"
"HZx3y5qcK6s","3939 Bastille Ct Tracy CA","3939 Bastille Ct","Tracy","31","1 year ago","1","address-only","https://www.youtube.com/watch?v=HZx3y5qcK6s"
"nzdP4Mzo2cQ","2590 Gerald Ct Tracy CA","2590 Gerald Ct","Tracy","43","1 year ago","1","address-only","https://www.youtube.com/watch?v=nzdP4Mzo2cQ"
"XAVZV-Jin-4","130 East 21st St Tracy CA","130 East 21st St","Tracy","22","1 year ago","1","address-only","https://www.youtube.com/watch?v=XAVZV-Jin-4"
"OIEIBjs-dVY","929 Heartland Dr Manteca CA","929 Heartland Dr","Manteca","36","1 year ago","1","address-only","https://www.youtube.com/watch?v=OIEIBjs-dVY"
"0uEvWdbALjU","2121 Eicher Ave Modesto CA","2121 Eicher Ave","Modesto","17","1 year ago","1","address-only","https://www.youtube.com/watch?v=0uEvWdbALjU"
"1WVkonqV2eY","2327 Pepper Tree Ln Manteca CA","2327 Pepper Tree Ln","Manteca","72","1 year ago","1","address-only","https://www.youtube.com/watch?v=1WVkonqV2eY"
"fxUEp60FufI","1065 Thornton Ln Tracy CA","1065 Thornton Ln","Tracy","11","1 year ago","1","address-only","https://www.youtube.com/watch?v=fxUEp60FufI"
"dVdPoTw-mvs","16565 Arbuckle Ave Lathrop CA","16565 Arbuckle Ave","Lathrop","45","1 year ago","1","address-only","https://www.youtube.com/watch?v=dVdPoTw-mvs"
"8JhRd-Fem3M","2777 Marshall Way Tracy CA","2777 Marshall Way","Tracy","27","1 year ago","1","address-only","https://www.youtube.com/watch?v=8JhRd-Fem3M"
